"Positionsinhaber","Emittent","ISIN","Position","Datum"
"BlueCrest Capital Management Limited","QSC AG","DE0005137004","0,81","2015-08-25"
"JPMorgan Asset Management (UK) Ltd","CANCOM SE","DE0005419105","1,28","2015-08-25"
"WorldQuant, LLC","GRAMMER Aktiengesellschaft","DE0005895403","1,22","2015-08-25"
"BlackRock Investment Management (UK) Limited","Bilfinger SE","DE0005909006","0,70","2015-08-25"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,60","2015-08-25"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,46","2015-08-25"
"Marshall Wace LLP","GEA Group Aktiengesellschaft","DE0006602006","0,51","2015-08-25"
"WorldQuant, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","0,59","2015-08-25"
"AQR Capital Management, LLC","RWE Aktiengesellschaft","DE0007037129","0,50","2015-08-25"
"Citadel Europe LLP","Deutsche EuroShop AG","DE0007480204","0,60","2015-08-25"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,76","2015-08-25"
"Hoplite Capital Management L.P.","Rocket Internet SE","DE000A12UKK6","0,53","2015-08-25"
"Oxford Asset Management","Klöckner & Co SE","DE000KC01000","1,08","2015-08-25"
"GLG Partners LP","BUWOG - Berlin I GmbH & Co. KG","AT00BUWOG001","0,99","2015-08-24"
"Pine River Capital Management L.P.","BUWOG AG","AT00BUWOG001","0,59","2015-08-24"
"Astellon Capital Partners","Gerry Weber International Aktiengesellschaft","DE0003304101","0,42","2015-08-24"
"JPMorgan Asset Management (UK) Ltd","zooplus AG","DE0005111702","0,60","2015-08-24"
"JPMorgan Asset Management (UK) Ltd","CANCOM SE","DE0005419105","1,33","2015-08-24"
"BlackRock Investment Management (UK) Limited","Evotec AG","DE0005664809","0,46","2015-08-24"
"BlackRock Investment Management (UK) Limited","GFT Technologies SE","DE0005800601","0,91","2015-08-24"
"WorldQuant, LLC","DMG MORI AKTIENGESELLSCHAFT","DE0005878003","0,80","2015-08-24"
"JPMorgan Asset Management (UK) Ltd","GRAMMER Aktiengesellschaft","DE0005895403","4,36","2015-08-24"
"WorldQuant, LLC","GRAMMER Aktiengesellschaft","DE0005895403","1,02","2015-08-24"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,59","2015-08-24"
"Odey Asset Management LLP","Infineon Technologies AG","DE0006231004","0,45","2015-08-24"
"BlackRock Investment Management (UK) Limited","Rheinmetall Aktiengesellschaft","DE0007030009","0,60","2015-08-24"
"AQR Capital Management, LLC","Wirecard AG","DE0007472060","0,50","2015-08-24"
"Citadel Europe LLP","Deutsche EuroShop AG","DE0007480204","0,58","2015-08-24"
"JPMorgan Asset Management (UK) Ltd","ElringKlinger AG","DE0007856023","1,21","2015-08-24"
"WorldQuant, LLC","ElringKlinger AG","DE0007856023","1,18","2015-08-24"
"CapeView Capital","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,52","2015-08-24"
"UBS O'Connor Limited","TAG Immobilien AG","DE0008303504","0,51","2015-08-24"
"UBS O'Connor Limited","SMA Solar Technology AG","DE000A0DJ6J9","0,51","2015-08-24"
"CQS (UK) LLP","alstria office REIT-AG","DE000A0LD2U1","0,89","2015-08-24"
"Marshall Wace LLP","Klöckner & Co SE","DE000KC01000","1,15","2015-08-24"
"JPMorgan Asset Management (UK) Ltd","zooplus AG","DE0005111702","0,53","2015-08-21"
"BlueCrest Capital Management Limited","QSC AG","DE0005137004","0,98","2015-08-21"
"Adage Capital Management L.P.","LANXESS Aktiengesellschaft","DE0005470405","0,46","2015-08-21"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405","1,61","2015-08-21"
"BlueCrest Capital Management Limited","Drillisch Aktiengesellschaft","DE0005545503","0,70","2015-08-21"
"BlackRock Investment Management (UK) Limited","Evotec AG","DE0005664809","0,65","2015-08-21"
"BlackRock Investment Management (UK) Limited","GFT Technologies SE","DE0005800601","0,82","2015-08-21"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,68","2015-08-21"
"BlueCrest Capital Management Limited","MorphoSys AG","DE0006632003","0,80","2015-08-21"
"WorldQuant, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","0,65","2015-08-21"
"BlackRock Investment Management (UK) Limited","Schaltbau Holding AG","DE0007170300","1,20","2015-08-21"
"AKO Capital LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,61","2015-08-21"
"Senator Investment Group LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,79","2015-08-21"
"BlackRock Institutional Trust Company, National Association","TAG Immobilien AG","DE0008303504","0,49","2015-08-21"
"AHL Partners LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","0,52","2015-08-21"
"WorldQuant, LLC","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","0,87","2015-08-21"
"Sothic Capital Management LLP","SMA Solar Technology AG","DE000A0DJ6J9","1,29","2015-08-21"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,88","2015-08-21"
"Astellon Capital Partners","HUGO BOSS AG","DE000A1PHFF7","0,57","2015-08-21"
"BlueCrest Capital Management Limited","QSC AG","DE0005137004","1,05","2015-08-20"
"BlackRock Investment Management (UK) Limited","Bertrandt Aktiengesellschaft","DE0005232805","0,61","2015-08-20"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405","1,57","2015-08-20"
"Millennium International Management LP","LANXESS Aktiengesellschaft","DE0005470405","0,55","2015-08-20"
"BlackRock Investment Management (UK) Limited","Evotec AG","DE0005664809","0,75","2015-08-20"
"BlackRock Investment Management (UK) Limited","GFT Technologies SE","DE0005800601","0,75","2015-08-20"
"JPMorgan Asset Management (UK) Ltd","GRAMMER Aktiengesellschaft","DE0005895403","3,28","2015-08-20"
"WorldQuant, LLC","GRAMMER Aktiengesellschaft","DE0005895403","0,89","2015-08-20"
"Lazard Asset Management LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,49","2015-08-20"
"Oxford Asset Management","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,60","2015-08-20"
"UBS O'Connor Limited","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,80","2015-08-20"
"AQR Capital Management, LLC","ThyssenKrupp AG","DE0007500001","0,51","2015-08-20"
"Marshall Wace LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","0,59","2015-08-20"
"BlackRock Investment Management (UK) Limited","PNE WIND AG","DE000A0JBPG2","0,70","2015-08-20"
"UBS O'Connor Limited","Manz AG","DE000A0JQ5U3","1,81","2015-08-20"
"PSquared Asset Management AG","alstria office REIT-AG","DE000A0LD2U1","1,32","2015-08-20"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","2,01","2015-08-20"
"Lone Pine Capital LLC","adidas AG","DE000A1EWWW0","0,37","2015-08-20"
"WorldQuant, LLC","Klöckner & Co SE","DE000KC01000","0,50","2015-08-20"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","0,71","2015-08-20"
"BlueCrest Capital Management Limited","Gerry Weber International Aktiengesellschaft","DE0003304101","0,80","2015-08-19"
"JPMorgan Asset Management (UK) Ltd","CANCOM SE","DE0005419105","1,46","2015-08-19"
"Adage Capital Management L.P.","LANXESS Aktiengesellschaft","DE0005470405","0,57","2015-08-19"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405","1,46","2015-08-19"
"JPMorgan Asset Management (UK) Ltd","GRAMMER Aktiengesellschaft","DE0005895403","2,14","2015-08-19"
"WorldQuant, LLC","GRAMMER Aktiengesellschaft","DE0005895403","0,65","2015-08-19"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,66","2015-08-19"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,75","2015-08-19"
"BlueCrest Capital Management Limited","Manz AG","DE000A0JQ5U3","0,47","2015-08-19"
"Macquarie Funds Management Hong Kong Limited","AIXTRON SE","DE000A0WMPJ6","0,69","2015-08-19"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,98","2015-08-19"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,79","2015-08-19"
"Oxford Asset Management","Klöckner & Co SE","DE000KC01000","1,19","2015-08-19"
"BlackRock Investment Management (UK) Limited","SAF-HOLLAND GmbH","LU0307018795","0,90","2015-08-19"
"BlueCrest Capital Management Limited","QSC AG","DE0005137004","1,16","2015-08-18"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405","1,32","2015-08-18"
"JPMorgan Asset Management (UK) Ltd","Drägerwerk AG & Co. KGaA","DE0005550602","0,73","2015-08-18"
"JPMorgan Asset Management (UK) Ltd","Drägerwerk AG & Co. KGaA","DE0005550636","0,73","2015-08-18"
"Sheffield Asset Management, L.L.C.","Dürr Aktiengesellschaft","DE0005565204","0,61","2015-08-18"
"BlackRock Investment Management (UK) Limited","Evotec AG","DE0005664809","0,88","2015-08-18"
"BlackRock Investment Management (UK) Limited","Bilfinger SE","DE0005909006","0,61","2015-08-18"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,87","2015-08-18"
"WorldQuant, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","0,79","2015-08-18"
"Lazard Asset Management LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,51","2015-08-18"
"BG Master Fund Plc","VOLKSWAGEN AKTIENGESELLSCHAFT","DE0007664005","0,40","2015-08-18"
"Lone Pine Capital LLC","adidas AG","DE000A1EWWW0","0,56","2015-08-18"
"WorldQuant, LLC","Klöckner & Co SE","DE000KC01000","0,49","2015-08-18"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","0,69","2015-08-18"
"WorldQuant, LLC","LEONI AG","DE0005408884","0,80","2015-08-17"
"JPMorgan Asset Management (UK) Ltd","CANCOM SE","DE0005419105","1,56","2015-08-17"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405","1,29","2015-08-17"
"BlueCrest Capital Management Limited","Evotec AG","DE0005664809","0,76","2015-08-17"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","1,31","2015-08-17"
"Egerton Capital (UK) LLP","Bilfinger SE","DE0005909006","1,24","2015-08-17"
"Adage Capital Management L.P.","Salzgitter Aktiengesellschaft","DE0006202005","2,11","2015-08-17"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,97","2015-08-17"
"Citadel Europe LLP","KUKA Aktiengesellschaft","DE0006204407","0,82","2015-08-17"
"CQS (UK) LLP","KUKA Aktiengesellschaft","DE0006204407","3,57","2015-08-17"
"WorldQuant, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","0,80","2015-08-17"
"Susquehanna International Holdings LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,48","2015-08-17"
"BlackRock Investment Management (UK) Limited","TAG Immobilien AG","DE0008303504","0,59","2015-08-17"
"BlackRock Investment Management (UK) Limited","Klöckner & Co SE","DE000KC01000","0,45","2015-08-17"
"BlackRock Investment Management (UK) Limited","Bertrandt Aktiengesellschaft","DE0005232805","0,52","2015-08-14"
"JPMorgan Asset Management (UK) Ltd","CANCOM SE","DE0005419105","1,63","2015-08-14"
"Adage Capital Management L.P.","LANXESS Aktiengesellschaft","DE0005470405","0,76","2015-08-14"
"Myriad Opportunities Master Fund Limited","Drillisch Aktiengesellschaft","DE0005545503","0,94","2015-08-14"
"Egerton Capital (UK) LLP","Bilfinger SE","DE0005909006","1,19","2015-08-14"
"Adage Capital Management L.P.","Salzgitter Aktiengesellschaft","DE0006202005","1,96","2015-08-14"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,57","2015-08-14"
"WorldQuant, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","0,79","2015-08-14"
"BlackRock Investment Management (UK) Limited","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,60","2015-08-14"
"BlackRock Institutional Trust Company, National Association","TAG Immobilien AG","DE0008303504","0,58","2015-08-14"
"BlueCrest Capital Management Limited","NORMA Group SE","DE000A0D6554","0,57","2015-08-14"
"BlackRock Investment Management (UK) Limited","PNE WIND AG","DE000A0JBPG2","0,60","2015-08-14"
"BlueCrest Capital Management Limited","AIXTRON SE","DE000A0WMPJ6","0,92","2015-08-14"
"JPMorgan Asset Management (UK) Ltd","AIXTRON SE","DE000A0WMPJ6","3,04","2015-08-14"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,90","2015-08-14"
"BlackRock Investment Management (UK) Limited","Klöckner & Co SE","DE000KC01000","0,51","2015-08-14"
"Hutchin Hill Capital, LP","Klöckner & Co SE","DE000KC01000","0,58","2015-08-14"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","0,71","2015-08-14"
"HBK Investments L.P.","Rice Energy Inc.","US7627601062","0,50","2015-08-14"
"GLG Partners LP","BUWOG - Berlin I GmbH & Co. KG","AT00BUWOG001","1,01","2015-08-13"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405","1,10","2015-08-13"
"Macquarie Funds Management Hong Kong Limited","Evotec AG","DE0005664809","0,48","2015-08-13"
"WorldQuant, LLC","DMG MORI AKTIENGESELLSCHAFT","DE0005878003","0,71","2015-08-13"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","1,24","2015-08-13"
"BlackRock Investment Management (UK) Limited","Bilfinger SE","DE0005909006","0,51","2015-08-13"
"Oxford Asset Management","Bilfinger SE","DE0005909006","0,59","2015-08-13"
"PDT Partners, LLC","Bilfinger SE","DE0005909006","0,64","2015-08-13"
"Adage Capital Management L.P.","Salzgitter Aktiengesellschaft","DE0006202005","1,87","2015-08-13"
"Citadel Europe LLP","KUKA Aktiengesellschaft","DE0006204407","0,77","2015-08-13"
"JPMorgan Asset Management (UK) Ltd","LPKF Laser & Electronics Aktiengesellschaft","DE0006450000","1,10","2015-08-13"
"GAM Investment Management (Switzerland) AG","STADA Arzneimittel Aktiengesellschaft","DE0007251803","0,82","2015-08-13"
"Susquehanna International Holdings LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,52","2015-08-13"
"BlackRock Investment Management (UK) Limited","Klöckner & Co SE","DE000KC01000","0,61","2015-08-13"
"Macquarie Funds Management Hong Kong Limited","Klöckner & Co SE","DE000KC01000","0,50","2015-08-13"
"Numeric Investors LLC","QSC AG","DE0005137004","0,86","2015-08-12"
"BlackRock Investment Management (UK) Limited","LEONI AG","DE0005408884","0,72","2015-08-12"
"Polygon Global Partners LLP","CANCOM SE","DE0005419105","0,59","2015-08-12"
"BlackRock Investment Management (UK) Limited","Evotec AG","DE0005664809","0,99","2015-08-12"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,09","2015-08-12"
"PDT Partners, LLC","Bilfinger SE","DE0005909006","0,56","2015-08-12"
"Adage Capital Management L.P.","Salzgitter Aktiengesellschaft","DE0006202005","1,71","2015-08-12"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,62","2015-08-12"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","1,09","2015-08-12"
"Citadel Europe LLP","KUKA Aktiengesellschaft","DE0006204407","0,67","2015-08-12"
"JPMorgan Asset Management (UK) Ltd","LPKF Laser & Electronics Aktiengesellschaft","DE0006450000","1,06","2015-08-12"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","0,58","2015-08-12"
"Macquarie Funds Management Hong Kong Limited","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,89","2015-08-12"
"UBS O'Connor Limited","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,79","2015-08-12"
"Whitebox Advisors","TAG Immobilien AG","DE0008303504","0,90","2015-08-12"
"PSquared Asset Management AG","alstria office REIT-AG","DE000A0LD2U1","1,22","2015-08-12"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,81","2015-08-12"
"BlackRock Investment Management (UK) Limited","Klöckner & Co SE","DE000KC01000","0,70","2015-08-12"
"Marshall Wace LLP","Klöckner & Co SE","DE000KC01000","1,21","2015-08-12"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","0,66","2015-08-12"
"JPMorgan Asset Management (UK) Ltd","LEONI AG","DE0005408884","0,32","2015-08-11"
"WorldQuant, LLC","LEONI AG","DE0005408884","0,74","2015-08-11"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405","0,84","2015-08-11"
"BlueCrest Capital Management Limited","Drillisch Aktiengesellschaft","DE0005545503","0,60","2015-08-11"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,22","2015-08-11"
"Oxford Asset Management","Bilfinger SE","DE0005909006","0,60","2015-08-11"
"PDT Partners, LLC","Bilfinger SE","DE0005909006","0,61","2015-08-11"
"WorldQuant, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","0,83","2015-08-11"
"BlackRock Investment Management (UK) Limited","Vossloh Aktiengesellschaft","DE0007667107","0,69","2015-08-11"
"UBS O'Connor Limited","SMA Solar Technology AG","DE000A0DJ6J9","0,47","2015-08-11"
"UBS O'Connor Limited","Manz AG","DE000A0JQ5U3","1,78","2015-08-11"
"PSquared Asset Management AG","alstria office REIT-AG","DE000A0LD2U1","1,11","2015-08-11"
"Lone Pine Capital LLC","adidas AG","DE000A1EWWW0","0,69","2015-08-11"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,83","2015-08-11"
"Adage Capital Management L.P.","Salzgitter Aktiengesellschaft","DE0006202005","1,54","2015-08-10"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","1,18","2015-08-10"
"BlackRock Investment Management (UK) Limited","Rheinmetall Aktiengesellschaft","DE0007030009","0,59","2015-08-10"
"UBS O'Connor Limited","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,87","2015-08-10"
"Oxford Asset Management","Wirecard AG","DE0007472060","0,59","2015-08-10"
"Tybourne Equity Master Fund","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,52","2015-08-10"
"UBS O'Connor Limited","TAG Immobilien AG","DE0008303504","0,47","2015-08-10"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,71","2015-08-10"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","1,27","2015-08-10"
"Hutchin Hill Capital, LP","Klöckner & Co Deutschland GmbH","DE000KC01000","0,69","2015-08-10"
"Odey Asset Management LLP","ProSiebenSat.1 Digital & Adjacent GmbH","DE000PSM7770","0,47","2015-08-10"
"HBK Investments L.P.","Rice Energy Inc.","US7627601062","0,48","2015-08-10"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","0,91","2015-08-07"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405","0,75","2015-08-07"
"BlueCrest Capital Management Limited","Evotec AG","DE0005664809","0,89","2015-08-07"
"Macquarie Funds Management Hong Kong Limited","Evotec AG","DE0005664809","0,59","2015-08-07"
"WorldQuant, LLC","KUKA Aktiengesellschaft","DE0006204407","0,46","2015-08-07"
"WorldQuant, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","0,72","2015-08-07"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664039","1,41","2015-08-07"
"Tybourne Equity Master Fund","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,47","2015-08-07"
"Clearance Capital LLP","TAG Immobilien AG","DE0008303504","0,80","2015-08-07"
"BlackRock Investment Management (UK) Limited","PNE WIND AG","DE000A0JBPG2","0,50","2015-08-07"
"PSquared Asset Management AG","alstria office REIT-AG","DE000A0LD2U1","1,04","2015-08-07"
"Brookfield Investment Management Inc.","iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen","DE000A0Q4R02","0,00","2015-08-07"
"Lansdowne Partners (UK) LLP","BASF SE","DE000BASF111","0,51","2015-08-07"
"Odey Asset Management LLP","ProSiebenSat.1 Digital & Adjacent GmbH","DE000PSM7770","0,50","2015-08-07"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","0,84","2015-08-06"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405","0,68","2015-08-06"
"Marshall Wace LLP","Dürr Aktiengesellschaft","DE0005565204","0,41","2015-08-06"
"AQR Capital Management, LLC","Salzgitter Aktiengesellschaft","DE0006202005","0,99","2015-08-06"
"BlackRock Investment Management (UK) Limited","Südzucker AG","DE0007297004","0,67","2015-08-06"
"Dalton Strategic Partnership LLP","SUEDZUCKER AG","DE0007297004","0,86","2015-08-06"
"Egerton Capital (UK) LLP","Südzucker AG","DE0007297004","0,63","2015-08-06"
"Oxford Asset Management","Südzucker AG","DE0007297004","0,48","2015-08-06"
"JPMorgan Asset Management (UK) Ltd","ElringKlinger AG","DE0007856023","1,14","2015-08-06"
"Blue Ridge Capital, L.L.C.","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,16","2015-08-06"
"Lone Pine Capital LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,68","2015-08-06"
"Tybourne Equity Master Fund","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,32","2015-08-06"
"Dalton Strategic Partnership LLP","TAG IMMOBILIEN AG","DE0008303504","0,55","2015-08-06"
"UBS O'Connor Limited","TAG Immobilien AG","DE0008303504","0,50","2015-08-06"
"Marshall Wace LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","0,66","2015-08-06"
"BlueCrest Capital Management Limited","Nordex SE","DE000A0D6554","0,69","2015-08-06"
"Brookfield Investment Management Inc.","iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen","DE000A0Q4R02","1,18","2015-08-06"
"BlueCrest Capital Management Limited","AIXTRON SE","DE000A0WMPJ6","0,80","2015-08-06"
"JPMorgan Asset Management (UK) Ltd","AIXTRON SE","DE000A0WMPJ6","3,22","2015-08-06"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,61","2015-08-06"
"Marshall Wace LLP","Klöckner & Co SE","DE000KC01000","1,11","2015-08-06"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,79","2015-08-06"
"WorldQuant, LLC","Klöckner & Co SE","DE000KC01000","0,59","2015-08-06"
"AKO Capital LLP","Software Aktiengesellschaft","DE0003304002","0,47","2015-08-05"
"BlueCrest Capital Management Limited","QSC AG","DE0005137004","1,28","2015-08-05"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405","0,50","2015-08-05"
"PDT Partners, LLC","Bilfinger SE","DE0005909006","0,59","2015-08-05"
"Myriad Opportunities Master Fund Limited","KUKA Aktiengesellschaft","DE0006204407","0,34","2015-08-05"
"WorldQuant, LLC","KUKA Aktiengesellschaft","DE0006204407","0,59","2015-08-05"
"Oxford Asset Management","Südzucker AG","DE0007297004","0,53","2015-08-05"
"Oxford Asset Management","Wirecard AG","DE0007472060","0,60","2015-08-05"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664005","0,53","2015-08-05"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664039","1,39","2015-08-05"
"JPMorgan Asset Management (UK) Ltd","ElringKlinger AG","DE0007856023","1,25","2015-08-05"
"Tybourne Equity Master Fund","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,13","2015-08-05"
"BlackRock Institutional Trust Company, National Association","TAG Immobilien AG","DE0008303504","0,60","2015-08-05"
"Clearance Capital LLP","TAG Immobilien AG","DE0008303504","0,86","2015-08-05"
"PSquared Asset Management AG","alstria office REIT-AG","DE000A0LD2U1","0,92","2015-08-05"
"BlueCrest Capital Management Limited","AIXTRON SE","DE000A0WMPJ6","0,78","2015-08-05"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,50","2015-08-05"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","1,03","2015-08-05"
"BlackRock Investment Management (UK) Limited","RIB Software AG","DE000A0Z2XN6","0,59","2015-08-05"
"JPMorgan Asset Management (UK) Ltd","RIB Software AG","DE000A0Z2XN6","1,14","2015-08-05"
"WorldQuant, LLC","Klöckner & Co SE","DE000KC01000","0,64","2015-08-05"
"GLG Partners LP","BUWOG - Berlin I GmbH & Co. KG","AT00BUWOG001","0,96","2015-08-04"
"AKO Capital LLP","Software Aktiengesellschaft","DE0003304002","0,56","2015-08-04"
"Marshall Wace LLP","Dürr Aktiengesellschaft","DE0005565204","0,59","2015-08-04"
"Macquarie Funds Management Hong Kong Limited","Evotec AG","DE0005664809","0,65","2015-08-04"
"CQS (UK) LLP","KUKA Aktiengesellschaft","DE0006204407","3,49","2015-08-04"
"WorldQuant, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","0,62","2015-08-04"
"Macquarie Funds Management Hong Kong Limited","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,90","2015-08-04"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664039","1,28","2015-08-04"
"WorldQuant, LLC","ElringKlinger AG","DE0007856023","1,24","2015-08-04"
"AKO Capital LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,73","2015-08-04"
"Lone Pine Capital LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,43","2015-08-04"
"BlackRock Investment Management (UK) Limited","TAG Immobilien AG","DE0008303504","0,62","2015-08-04"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,36","2015-08-04"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","1,35","2015-08-04"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,81","2015-08-04"
"WorldQuant, LLC","Klöckner & Co SE","DE000KC01000","0,71","2015-08-04"
"AQR Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888","0,69","2015-08-04"
"Numeric Investors LLC","QSC AG","DE0005137004","0,93","2015-08-03"
"BlueCrest Capital Management Limited","Drillisch Aktiengesellschaft","DE0005545503","0,50","2015-08-03"
"Myriad Opportunities Master Fund Limited","Drillisch Aktiengesellschaft","DE0005545503","0,73","2015-08-03"
"Oxford Asset Management","Evotec AG","DE0005664809","0,59","2015-08-03"
"Astellon Capital Partners","FUCHS PETROLUB SE","DE0005790430","0,51","2015-08-03"
"Adage Capital Management L.P.","Salzgitter Aktiengesellschaft","DE0006202005","1,20","2015-08-03"
"BlackRock Investment Management (UK) Limited","Schaltbau Holding AG","DE0007170300","1,11","2015-08-03"
"Dalton Strategic Partnership LLP","SUEDZUCKER AG","DE0007297004","0,95","2015-08-03"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664039","1,30","2015-08-03"
"BlueCrest Capital Management Limited","Nordex SE","DE000A0D6554","0,71","2015-08-03"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,24","2015-08-03"
"PDT Partners, LLC","AIXTRON SE","DE000A0WMPJ6","0,70","2015-08-03"
"Odey Asset Management LLP","adidas AG","DE000A1EWWW0","1,43","2015-08-03"
"AKO Capital LLP","Software Aktiengesellschaft","DE0003304002","0,64","2015-07-31"
"WorldQuant, LLC","DMG MORI AKTIENGESELLSCHAFT","DE0005878003","0,62","2015-07-31"
"JPMorgan Asset Management (UK) Ltd","GRAMMER Aktiengesellschaft","DE0005895403","1,94","2015-07-31"
"Adage Capital Management L.P.","Salzgitter Aktiengesellschaft","DE0006202005","1,12","2015-07-31"
